form	sense	pos
hlas*	heiter	Adjective
hlasoza	sorgenfreier	Adjective, Comparative
hlasei	Heiterkeit	Noun, common, feminine
af-hlaþan	beladen	Verb
us-hlaupan	aufspringen, sich aufmachen	Verb
hlauts	Los; Anteil, Erbschaft	Noun, common, masculine
hleibjan	sich annehmen	Verb
hleiduma	link	Adjective, Comparative
hleiþra	Zelt, Hütte	Noun, common, feminine
ufar-hleiþrjan	ein Zelt über mir aufschlage	Verb
hleþrastakeins	das Zeltaufschlagen, Laubhüttenfest	Noun, common, feminine
hlifan	stehlen	Verb
hliftus	Dieb	Noun, common, masculine
hlijans	Hütten, Zelte	Noun, common
hliuma	Gehör	Noun, common, masculine
uf-hlohjan	auflachen machen	Verb
hlutrei	Lauterkeit	Noun, common, feminine
hlutriþa	Lauterkeit	Noun, common, feminine
hlūtrs*	lauter, rein	Adjective
hnaiweins	Erniedrigung, Demut	Noun, common, feminine
hnaiwjan	niedrig machen	Verb
ana-hnaiwjan	niederlegen	Verb
ga-hnaiwjan	erniedrigen	Verb
uf-hnaiwjan	einen unterwerfen unter 	Verb
hnaiws	niedrig, demütig	Adjective
hnasqjaim*	weich, weichlich	Adjective
hneiwan	sich neigen	Verb
ana-hneiwan	sich niederbeugen	Verb
[ga-hnipnan]	sich betrüben	Verb
dis-hniupan	zerreißen	Verb
dis-hnupnan	zerreißen	Verb
hnuþo	spitzer Pfahl	Noun, common, feminine
hoha	Pflug	Noun, common, masculine
holon	durch Betrug schädigen, schikanieren	Verb
af-holon	übervorteilen	Verb
horinassus	Ehebruch; Hurerei	Noun, common, masculine
horinon	huren, Ehebruch treiben	Verb
ga-horinon	Ehebruch begehn	Verb
hors	Hurer, Ehebrecher	Noun, common, masculine
hrainei	Reinheit, wohl auch Reinigung	Noun, common, feminine
hraineins	Reinigung	Noun, common, feminine
hrainjahairts	reinen Herzens	Adjective
hrainjan	reinigen	Verb
af-hrainjan	etwas Verunreinigendes tilgen	Verb
ga-hrainjan	reinigen	Verb
us-hrainjan	ausfegen	Verb
hrains	rein, ehrbar	Adjective
hraiwadūbo	Turteltaube	Noun, common, feminine
hramjan	kreuzigen	Verb
us-hramjan	kreuzigen	Verb
af-hrisjan	abschütteln	Verb
us-hrisjan	abschütteln	Verb
hropjan	rufen	Verb
uf-hropjan	aufschreien, ausrufen	Verb
hrops	Ruf, Geschrei	Noun, common, masculine
hrot	Dach, Haus	Noun, common, neuter
hroþeigs	siegreich	Adjective
hrugga	Stab	Noun, common, feminine
hrūkjan	krähen	Verb
hruk	das Krähen	Noun, common
and-hruskan	nachforschen	Verb
huggrjan	hungern	Verb
hugjan	denken, meinen	Verb
af-hugjan	bezaubern	Verb
†and-hugjan	†and-hugjan	Verb
faura-gahugjan	sich vornehmen	Verb
ufar-hugjan	sich überheben	Verb
hugs*	Verstand	Noun, common, masculine
hugs*	Landgut, Feld	Noun, common, neuter
huhjan	häufen, sammeln	Verb
huhrus	Hunger, Hungersnot	Noun, common, masculine
hulistr	Hülle	Noun, common, neuter
huljan	hüllen, verhüllen	Verb
and-huljan	enthüllen	Verb
dis-huljan	verhüllen	Verb
ga-huljan	verhüllen	Verb
us-hulon	aushöhlen	Verb
hulþs	hold	Adjective
hulundi	Höhle	Noun, common, feminine
-hun	-hun	Particle, enclitic
hunda	Hunderte	Numeral, cardinal
hundafaþs	Centurio	Noun, common, masculine
hunds	Hund	Noun, common, masculine
hunsl	Opfer	Noun, common, neuter
hunslastaþs	Opferstätte, Altar	Noun, common, masculine
hunsljan	opfern	Verb
hunþs*	Fang, Beute	Noun, common, masculine
hups	Hüfte	Noun, common, masculine
huzd	Hort, Schatz	Noun, common, neuter
huzdjan	Schätze sammeln	Verb
Hwmainaius	Hwmainaius	Noun, proper
hwssopon	hwssopon	Noun, common
ƕad	wohin	<none>
ƕadre	wohin	Adverb, directional
ƕa-h	jeder	<none>
ƕairban	wandeln	Verb
bi-ƕairban	umdrängen	Verb
ƕairnei*	Schädel	Noun, common, feminine
ƕaiteis*	Weizen	Noun, common, masculine
ƕaiwa	wie	Adverb
ƕan	wann	Adverb
ƕanhun	jemals	Adverb
af-ƕapjan	ersticken, auslöschen	Verb
af-ƕapnan	ersticken, erlöschen	Verb
ƕar	wo	Adverb
ƕarbon	wandeln	Verb
ƕarjis	wer	Pronoun, interrogative
ƕarjizuh	jeder	Pronoun, indefinite
ƕas	wer?	Pronoun, interrogative
ƕashun	jemand	Pronoun, indefinite
ƕassaba	scharf, streng	Adverb, manner
ƕassei	Schärfe, Strenge	Noun, common, feminine
[gaƕatjan]	[gaƕatjan]	Verb
ƕaþ	wohin	Adverb, directional
ƕaþar	wer von beiden	Pronoun, interrogative
[ƕaþaruh]	jeder von beiden	Pronoun, indefinite
ƕaþjan	schäumen	Verb
ƕaþo	Schaum	Noun, common, feminine
ƕaþro	woher	Adverb, directional
ƕazuh	jeder	Pronoun, indefinite
ƕe	wem, mit wem, womit	Adverb
ƕeh	jedenfalls, nur	Unassigned
ƕeila	Weile, Zeit, Stunde	Noun, common, feminine
ƕeilaƕairbs	nur eine Zeitlang dauernd, vergänglich	Adjective
ƕeilan	aufhören	Verb
ana-ƕeilan	beruhigen, erquicken	Verb
ga-ƕeilan	zur Ruhe kommen, aufhören	Verb
ƕeilohun	nicht eine Stunde lang	Unassigned
ga-ƕeitjan	weißen	Verb
ƕeits	weiß	Adjective
ƕelauþs*	wie groß	Adjective
ƕileiks	wie beschaffen?	Adjective
ƕilftrjom	Totenkiste, Sarg	Noun, common, feminine
ƕoftuli	Das Rühmen, der Ruhm	Noun, common, feminine
ƕoh	jeder	<none>
ƕopan	sich einer Sache rühmen	Verb
ƕota	Drohung	Noun, common, feminine
ƕotjan	drohen	Verb
ga-ƕotjan	einen bedrohn	Verb
Iaeirus	Iaeirus	Noun, proper
Iairaimias*	Iairaimias*	Noun, proper
Iairaupaulein	P064.10	Noun, proper
Iaireiko*, Iairiko*	Iericho	Noun, proper
Iairusalem	Iairusalem	Noun, proper
Iairusaulwma	Iairusaulwma	Noun, proper
Iairusaulwmeis	Iairusaulwmeis	Noun, common
Iairusaulwmeite	Iairusaulwmeite	Noun, proper
Iaissaizis	Iaissaizis	Noun, proper
Iakob	Iakob	Noun, proper
Iakobus	Iakobus	Noun, proper
Iaredis	Iaredis	Noun, proper
Iareim	Iareim	Noun, proper
Iasson	Iasson	Noun, proper
Iaurdanus*	Iaurdanus*	Noun, proper
ibai	doch nicht?	Particle
ibdaljin	Berglehne	Noun, common
ibna	gleich	Adjective
ibnaleiks	gleichen Körpers	Adjective
ibnaskauns*	gleichschön	Adjective
~skauneis*	~skauneis*	Adjective
ibnassus	Gleichheit	Noun, common, masculine
ga-ïbnjan	gleich machen	Verb
ibns	eben, flach	Adjective
ibuks	rückwärts gewandt	Adjective
iddja	iddja	<none>
idreiga	Buße	Noun, common, feminine
idreigon	Reue empfinden	Verb
ga-ïdreigon	bereuen, Buße tun	Verb
Idumaia	Idumaia	Noun, proper
idweit	Schmach, Schimpf	Noun, common, neuter
idweitjan	schmähn	<none>
Iesus	Iesus	Noun, proper
iftuma	am folgenden Tage	Adjective, Comparative
iggqar	euch beiden gehörig	Pronoun, possesive
igqis	igqis	Pronoun, personal
ik	ich	Pronoun, personal
ikei	der ich	Pronoun, personal, relative
in	in, auf, an, unter	Preposition, +ADG
inahei	Besonnenheit, Selbstbeherrschung	Noun, common, feminine
inahs	verständig	Adjective
ingardja	Hausgenosse	Noun, common, masculine
inilo	Entschuldigung	Noun, common, feminine
inkilþo	schwanger	Noun, common, feminine
inkunja*	Stammesgenosse, Landsmann	Noun, common, masculine
inmaideins	Vertauschung	Noun, common, feminine
inn	hinein	Adverb, directional
inna	innen, innerhalb	Adverb, locative
innakunds	zum Hause gehörig, Hausgenosse	Adjective
innana	von innen	Adverb, directional
innatgāhts*	Eingang, Eintritt	Noun, common, feminine
innaþro	von innen	Adverb, directional
inniujiþa	Erneuerung	Noun, common, feminine
innuma	der innere	Adjective, Comparative
insahts	Erzählung, Aussage, Zeugnis	Noun, common, feminine
inuh	ohne, außer	Preposition, +A
in-uh, in-uþ-	in, auf, an, unter	<none>
inwindiþa	Ungerechtigkeit	Noun, common, feminine
inwinds	ungerecht	Adjective
[inwitoþs]	innerhalb des Gesetzes stehend	Adjective
Ioanan	Ioanan	Noun, proper
Ioda	Ioda	Noun, proper
Iohanna	Iohanna	Noun, proper
Iohanna	Iohanna	Noun, proper
Iohannes	Iohannes	Noun, proper
Iora	Iora	Noun, proper
Ioreim	Ioreim	Noun, proper
Iosef	Iosef	Noun, proper
Iosezis	Iosezis	Noun, proper
is M, si F, ita N	er, der	Pronoun, personal
Isak	Isak	Noun, proper
Iskariotes	Iskariotes	Noun, proper
Israel	Israel	Noun, proper
Israeleites	Israeleites	Noun, proper
itan	essen	Verb
fra-ïtan	etw. verzehren, fressen	Verb
Ituraia	Ituraia	Noun, proper
iþ	aber	Conjunction
Iudaia	Iudaia	Noun, proper
Iudaialand	Iudaialand	Noun, common, neuter
Iudaius	Iudaius	Noun, proper
Judaius	Judaius	<none>
iudaiwisko	auf jüdische Weise	Adverb
iudaiwiskon	jüdisch leben	Verb
Iudas	Iudas	Noun, proper
iumjo	Haufe	Noun, common, feminine
iup	aufwärts	Adverb, directional
iupa	oben	Adverb, locative
iupana	von oben	Adverb
iupaþro	von oben her	Adverb, directional
Iuse	Iuse	<none>
iusila	Erholung	Noun, common, feminine
iusiza	vorzüglicher	Adjective, Comparative
izei	izei	Unassigned
ize	ize	<none>
izwar	euer	Pronoun, possesive
izwizei	der du	Pronoun, personal, relative
ja	ja	Unassigned
jabai	ob	Unassigned
Jaeirus	Jaeirus	<none>
jah	und, und zwar, auch	Unassigned
jai	ja, wahrlich, fürwahr	Unassigned
jainar	an jenem Ort, dort	Adverb, locative
jaind	dorthin	Adverb, directional
jaindre	dorthin	Adverb, directional
jaindwairþs	dorthin gewandt	Adjective
jains	jener	Pronoun, demonstrative
jainþro	dorther	Adverb, directional
Jairupulai	P072.07	Noun, proper
Janna	Janna	Noun, proper
Jannes	Jannes	Noun, proper
jaþþe	und wenn	Conjunction
jau	ob	Unassigned
Jaurdanau	Jaurdanau	<none>
jer	Jahr	Noun, common, neuter
jiuka	Zornausbrüche; Streitereien	Noun, common, feminine
jiukan	kämpfen; obsiegen	Verb
ga-jiukan	besiegen	Verb
Jiuleis	Julmonat	Unassigned
jota	jota	Noun, common, masculine
ju	schon	Adverb, temporal
judaiwisks	jüdisch	Adjective
Judaius	Judaius	<none>
Judas	Judas	<none>
juggs	jung; jugendlich	Adjective
juk	Gespann	Noun, common, neuter
jukuzi*	Joch	Noun, common, feminine
junda	Jugend	Noun, common, feminine
jūs	ihr	Pronoun, personal
Justus	Justus	Noun, proper
juþan	schon	Adverb
jūzei	jūzei	Pronoun, personal, relative
Kaballarja	Kaballarja	Noun, proper
Kaeinan	Kaeinan	Noun, proper
Kafarnaum	Kafarnaum	Noun, proper
Kaidmeiel	Kaidmeiel	Noun, proper
Kaidron	Kaidron	Noun, proper
kaisar*	Kaiser	Noun, common, masculine
kaisaragild	Census, Steuer	Noun, common, neuter
Kaisaria	Kaisaria	Noun, proper
Kajafa	Kajafa	Noun, proper
kalbo	Kalbe 	Noun, common, feminine
kalds	kalt	Adjective
kalkinassus	Hurerei	Noun, common, masculine
kalkjom	Hure	Noun, common, feminine
Kananeites*	Kananeites*	Noun, proper
kann	kennen, wissen	<none>
kannjan	einem  kund tun	Verb
ga-kannjan	verkünden	Verb
us-kannjan	verkünden	Verb
kapillon	das Haar abschneiden	Verb
kara	Sorge	Noun, common, feminine
[Kareiaþiareim]	[Kareiaþiareim]	Noun, proper
karkara	Kerker	Noun, common, feminine
karon	sich kümmern	Verb
ga-karon	besorgen	Verb
Karpus	Karpus	Noun, proper
kas	Gefäß	Noun, common, neuter
kasja	Töpfer	Noun, common, masculine
katile	Kessel	Noun, common, masculine
Kaulaussaium	den Kolossern	Noun, proper
kaupatjan	ohrfeigen	Verb
kaupon	Geschäfte machen, Handel treiben	Verb
Kaurazein	Kaurazein	Noun, proper
kaurban	Gabe, fromme Stiftung	Foreign word
[kaurbaunan]	Tempelschatz	Noun, common
kaurei*	Schwere, Fülle	Noun, common, feminine
Kaurinþius	Kaurinþius	Noun, proper
Kaurinþon	Kaurinþon	Noun, proper
kauriþa	Last	Noun, common, feminine
kaurjan	drücken, belästigen	Verb
ana-kaurjan	beschweren	Verb
miþ-kaurjan	mitbelastet mit	Verb
kaurjos	schwer, lästig	Adjective
kaurn	Getreide	Noun, common, neuter
kaurno	Korn	Noun, common, neuter
kausjan	kosten, kennen lernen	Verb
ga-kausjan	erproben	Verb
kawtsjo	kawtsjo	Foreign word
Kefas	Kefas	Noun, proper
keinan	keimen	Verb
us-keinan	hervorkeimen	Verb
miþ-uskeinan	mithervorkeimen	Verb
kelikn	Turm; Speisesaal im Obergeschoss	Noun, common, neuter
Kileikia*	Kileikia*	Noun, proper
kilþei	Mutterleib	Noun, common, feminine
kindins	Statthalter	Noun, common, masculine
kinnus	Wange	Noun, common, feminine
kintus	Heller	Noun, common, masculine
kiusan	etwas  prüfen	Verb
ga-kiusan	erproben	Verb
us-kiusan	erproben	Verb
Klemaintau	Klemaintau	Noun, proper
Klaimaintau	Klaimaintau	<none>
klismjan	gellen	Verb
klismo	Becken	Noun, common, feminine
kniu*	Knie	Noun, common, neuter
knodai	Geschlecht	Noun, common, feminine
knussjan	niederfallen	Verb
Kosam	Kosam	Noun, proper
Kreks	Grieche 	Noun, common, masculine
[Kreskus]	[Kreskus]	Noun, proper
Kretai	Kretai	Noun, proper
Kretes	Kretes	Noun, proper
Krispus	Krispus	Noun, proper
kriustan	knirschen	Verb
ga-kroton	zerbrechen, zerschellen	Verb
krusts	Knirschen	Noun, common
kubitus	Tischgesellschaft, Gruppe	Noun, common, masculine
kukjan	einen küssen	Verb
bi-kukjan	mit Küssen bedecken	Verb
ana-kumbjan	sich niederlegen, zu Tische legen	Verb
kumei	kumei	Foreign word
kunawida*	Fessel	Noun, common, feminine
kuni	Geschlecht, Stamm	Noun, common, neuter
kunnan	kennen, wissen	Verb
fra-kunnan	verachten	Verb
ga-kunnan	sich unterordnen, gehorchen	Verb
-kunnan	-kunnan	Verb
ana-kunnan	etw. lesen	Verb
at-kunnan	gewähren	Verb
ga-kunnan	kennen lernen, erfahren	Verb
uf-kunnan	erkennen	Verb
kunþi	Kunde, Kenntnis	Noun, common, neuter
kunþs	kund, bekannt	Adjective
Kusa	Kusa	Noun, proper
Kustanteinus	Kustanteinus	Noun, proper
kustus	Prüfung	Noun, common, masculine
Kwreinaius	Quirinius	Noun, proper
Kwreinaius	Einwohner von Kyrene	Noun, proper
laggamodei	Langmut	Noun, common, feminine
laggei	Länge	Noun, common, feminine
laggs	lang	Adjective
lagjan	legen, auflegen, hinlegen	Verb
af-lagjan	etwas ablegen	Verb
ana-lagjan	einem  auflegen	Verb
at-lagjan	hinlegen, auflegen	Verb
faur-lagjan	einem  etw. vorlegen	Verb
ga-lagjan	hinlegen	Verb
ufar-lagjan	überdecken	Verb
us-lagjan	us-lagjan	Verb
laian*	schmähn	Verb
lauan*	lauan*	<none>
laiba	Überbleibsel	Noun, common, feminine
bi-laibjan	übrig lassen	Verb
bilaif	bleiben	<none>
laigaion	Legion	Foreign word
bi-laigon	etw. belecken	Verb
laikan	hüpfen, springen	Verb
bi-laikan	einen  verspotten	Verb
laiks	Tanz	Noun, common, masculine
laiktjo	Leseabschnitt	Foreign word
lais	 weiß	Verb
laisareis	Lehrer	Noun, common, masculine
laiseigs	zum Lehren befähigt	Adjective
laiseins	Lehre	Noun, common, feminine
laisjan	lehren	Verb
ga-laisjan	lehren	Verb
us-laisjan	belehren	Verb
laistjan	einem folgen, nachstreben	Verb
afar-laistjan	einem nachfolgen, nachstreben; nachgehn 	Verb
ga-laistjan	Gastfreundschaft pflegend	Verb
laists	Spur	Noun, common, masculine
Laiwweis	Laiwweis	Noun, proper
Laiwweiteis	Laiwweiteis	Noun, common
Lamaik	Lamaik	Noun, proper
lamb	Lamm, Schaf	Noun, common, neuter
land	Land; Gegend	Noun, common, neuter
lasiws	schwach	Adjective
latei	Lässigkeit	Noun, common, feminine
latjan	aufhalten	Verb
ana-latjan	verhindern; ihr bekommt keine Gelegenheit	Verb
ga-latjan	verhindern	Verb
lats	lässig, faul	Adjective
laþaleiko	gern	Adverb
laþon	laden	Verb
at-laþon	berufen	Verb
ga-laþon	zusammenberufen, einladen	Verb
laþons	Einladung, Berufung	Noun, common, feminine
lauan*	schmähn	<none>
ga-laubjan	glauben	Verb
us-laubjan	einem erlauben	Verb
Laudeikaia*	Laudeikaia*	Noun, proper
laudi	Gestalt	Noun, common, feminine
laufs	Laub, Blatt	Noun, common, masculine
laugnjan	leugnen	Verb
ga-laugnjan	verborgen bleiben	Verb
lauhatjan	blitzen	Verb
lauhmuni*	Blitz	Noun, common, feminine
Lauidjai	Lauidjai	Noun, proper
laun	Lohn	Noun, common, neuter
launawargs*	undankbar	Adjective
laus	los, leer	Adjective
lausawaurdei	leeres Gerede	Noun, common, feminine
lausawaurdi	leeres Gerede	Noun, common, neuter
lausawaurds	hohle Schwätzer	Adjective
laushandja	mit leeren Händen	Adjective
lausjan	lösen	Verb
ga-lausjan	erlösen, befreien	Verb
us-lausjan	entwurzele dich	Verb
lausqiþrei	Fasten	Noun, common, feminine
lausqiþrs*	leeren Magens, nüchtern	Adjective
Lazarus	Lazarus	Noun, proper
bi-leiban*	bleiben	Verb
leihts	leicht	Adjective
leiƕan	leihen; sich borgen von	Verb
leik	Körper, Leib	Noun, common, neuter
leikains	Gefallen	Noun, common, feminine
leikan	einem gefallen, zu Gefallen sein	Verb
ga-leikan	gefallen	Verb
faura-galeikan	vorhergefallen	Verb
leikeins	leiblich, fleischlich	Adjective
leikeis, leikinassus, leikinon	Arzt	<none>
silda-leikjan, silda-leiknan	anstaunen, bewundern	<none>
gáleikon	meine Nachahmer	Verb
ga-gáleikon	sich verwandeln, eine Gestalt annehmen	Verb
in-gáleikon	verwandeln	Verb
miþ-gáleikon	mitnachahmen	Verb
þairh-gáleikon	þairh-gáleikon	Verb
lein	Leinwand	Noun, common, neuter
leitan	lassen	<none>
leitils	klein, wenig	Adjective
af-leiþan	weggehn, entweichen, verreisen	Verb
bi-leiþan	verlassen, zurücklassen	Verb
ga-leiþan	kommen, gehn	Verb
inn-galeiþan	hineingehn	Verb
miþ-inngaleiþan	mithineingehn	Verb
hindar-leiþan	hinzukommen	Verb
þairh-leiþan	hindurchgehn	Verb
ufar-leiþan	übersetzen	Verb
us-leiþan	hinausgehn, weggehn; verreisen	Verb
leiþu	Obstwein	Noun, common
lekeis	Arzt	Noun, common, masculine
lekinassus*	Heilung	Noun, common, masculine
lekinon	heilen	Verb
ga-leikinon	herstellen	Verb
letan	lassen	Verb
af-letan	entlassen	Verb
fra-letan	lassen; frei lassen, entlassen; unterlassen; zulassen, erlauben; erlassen, vergeben; herablassen	Verb
us-letan	ausschließen	Verb
and-letnan	scheiden	Verb
lew	Gelegenheit, Veranlassung	Noun, common
lewjan	verraten	Verb
fra-lewjan	verraten	Verb
ga-lewjan	hingeben, überlassen	Verb
libains	Leben	Noun, common, feminine
liban	leben	Verb
miþ-liban	mitleben	Verb
af-lifnan	übrig bleiben	Verb
ligan	liegen	Verb
at-ligan	steht in meiner Macht	Verb
uf-ligan	unterliegen	Verb
ligrs	Lager, Bett	Noun, common, masculine
lima	lima	Foreign word
af-linnan	weggehn	Verb
lisan	lesen, sammeln	Verb
ga-lisan	zusammenlesen, versammeln	Verb
listeigs	listig	Adjective
lists	List	Noun, common
litai	Heuchelei	Noun, common, feminine
liteins	Bittgebet	Noun, common, feminine
miþ-litjan	heucheln mit	Verb
liþus	Glied	Noun, common, masculine
liubaleiks	lieblich	Adjective
liudan	wachsen	Verb
awi-liudon	einem  danken	<none>
liufs*	lieb	Adjective
liuga	Heirat, Ehe	Noun, common, feminine
liugan	heiraten	Verb
ga-liugan	ein Weib nehmen	Verb
liugan	lügen	Verb
liugn	Lüge	Noun, common
liugnapraufetus*	Lügenprophet	Noun, common, masculine
liugnawaurds	Lügen redend	Adjective
liugnja	Lügner	Noun, common, masculine
liuhadei*	liuhadei*	Noun, common, feminine
liuhadeins	Helle, Glanz	Noun, common, feminine
liuhadeins*	hell	Adjective
liuhaþ	Licht	Noun, common, neuter
liuhtjan	leuchten	Verb
ga-liuhtjan	etw. erleuchten, ans Licht bringen	Verb
in-liuhtjan	erleuchten	Verb
fra-liusan	etwas verlieren	Verb
liutei	Heuchelei	Noun, common, feminine
liuts	Gaukler	Adjective
liuþareis	Sänger	Noun, common, masculine
liuþon	einem lobsingen	Verb
lofa*	flache Hand	Noun, common, masculine
Loþ*	Loþ*	Noun, proper
lubains	Hoffnung	Noun, common, feminine
lubjaleis	giftkundig	Adjective
lubjaleisei	Giftmischerei, Zauberei	Noun, common, feminine
ludja*	Angesicht	Noun, common, feminine
luftu	Luft	Noun, common
ga-lūkan	verschließen	Verb
us-lukan	erschließen, öffnen	Verb
lukarn	Leuchte, Licht	Noun, common, neuter
lukarnastaþa	Leuchter	Noun, common, masculine
Lukas	Lukas	Noun, proper
Lukius	Lukius	Noun, proper
ga-luknan	sich verschließen	Verb
us-luknan	sich erschließen, öffnen	Verb
lun	Lösegeld	Noun, common
fra-lusnan	verloren gehn	Verb
luston	begehren	Verb
lustus	Lust, Begierde	Noun, common, masculine
lustusama	ersehnt	Adjective
luton	taüschen	Verb
us-luton	verführen, irre führen	Verb
Lwddomaeis	Lwddomaeis	Noun, proper
Lwsanius*	Lwsanius*	Noun, proper
Lwstrws	Lwstrws	Noun, proper
Maeinan*	Maeinan*	Noun, proper
magan*	können, vermögen	Verb
ga-magan*	gelten, bedeuten	Verb
magaþei	Jungfrauschaft	Noun, common, feminine
magaþs*	Jungfrau	Noun, common, feminine
Magdalan	Magdalan	Noun, proper
Magdalene	Magdalene	Noun, proper
magula	Knäblein	Noun, common, masculine
magus	Knabe	Noun, common, masculine
Mahaþ*	Mahath	Noun, proper
mahteigs	mächtig; möglich	Adjective
ana-mahtjan	vergewaltigen; rauben; kränken, quälen; erpressen; mißhandeln	Verb
mahts	mahts	<none>
mahts	Macht, Kraft, Vermögen	Noun, common, feminine
maidjan	tauschen	Verb
in-maidjan	verwandeln	Verb
maihstus	Mist	Noun, common, masculine
Mailaian*	Mailaian*	Noun, proper
maile	Runzel	Noun, common
Mailkei*	Mailkei*	Noun, proper
maimbrana	Pergament	Noun, common, masculine
gámainjan	gemein machen	Verb
ga-gámainjan	verunreinigen	Verb
mais	mehr	Adverb, Comparative
Maisaullam*	Maisaullam*	Noun, proper
maists	der größte	Adverb, Superlative
maist	höchstens	Adverb, Comparative
maitan	etw. schneiden, hauen von	Verb
af-maitan	abhauen, abschneiden	Verb
bi-maitan	beschneiden	Verb
ga-maitan	zerschneiden, verschneiden	Verb
us-maitan	ausschneiden, abschneiden, ausrotten	Verb
maiþms	Geschenk	Noun, common
maiza	größer	Adjective, Comparative
Makeibis	Makeibis	Noun, proper
Makidoneis	Makidoneis	Noun, proper
Makidonja	Makidonja	Noun, proper
Makmas	Makmas	Noun, proper
malan	mahlen	Verb
[Malailaiel]	[Malailaiel]	Noun, proper
Malkus	Malkus	Noun, proper
malma	Sand	Noun, common, masculine
malo	Motte	Noun, common
ga-malwjan	zermalmen	Verb
Mambres	Mambres	Noun, proper
mammo	Fleisch	Noun, common, feminine
mammona*	mammona*	Noun, common
bi-mampjan	verhöhnen	Verb
man	meinen, glauben, dafür halten	<none>
managdūþs	Fülle	Noun, common, feminine
managei	Menge	Noun, common, feminine
managfalþs	mannigfaltig	Adjective
managjan	etw. mehren	Verb
managnan	reichlich vorhanden sein, Überfluß haben an	Verb
us-managnan	sich vermehren zu	Verb
manags	mancher, viel	Adjective
manamaurþrja	Menschenmörder	Noun, common, masculine
manaseþs	Welt, Menschheit	Noun, common, feminine
manaulja	der Gestalt nach	Noun, common
manleika	Bild	Noun, common, masculine
manna	manna	Noun, common
manna	Mensch, mann	Noun, common, masculine
mannahun	niemand	Pronoun, indefinite
manniskodus	Menschlichkeit	Noun, common, masculine
mannisks	menschlich	Adjective
manwiþa	Bereitschaft	Noun, common, feminine
manwjan	etw. bereitmachen, zurechtmachen	Verb
faura-manwjan	etw. vorbereiten	Verb
ga-manwjan	einem etw. bereiten zu	Verb
faura-gamanwjan	etw. vorher zubereiten	Verb
manwus	bereit	Adjective
maran aþa	der Herr kommt	Foreign word
marei	Meer	Noun, common, feminine
Maria	Maria	<none>
marikreitum	Perle	Noun, common
marisaiws*	See	Noun, common, masculine
Marja	Marja	Noun, proper
marka	Mark, Grenze	Noun, common, feminine
[Markaillaus]	Marcellus von Ancyra	Noun, proper
[ga-markon]	[ga-markon]	Verb
Markus	Markus	Noun, proper
†marwtre	Martyrer	Noun, common
Marþa	Marþa	Noun, proper
marzeins	Ärgernis	Noun, common, feminine
marzjan	einen ärgern, ihm zum Ärgernis sein	Verb
af-marzjan	Ärgernis nehmen	Verb
ga-marzjan	Ärgernis erregen	Verb
matibalgs	Ranzen, Speisesack	Noun, common, masculine
matjan	essen	Verb
ga-matjan	essen	Verb
mats	Speise	Noun, common, masculine
Mattaþanis	Mattaþanis	Noun, proper
Mattaþius*	Mattaþius*	Noun, proper
Matþaius*	Matþaius*	Noun, proper
Matþat	Matþat	Noun, proper
maþa	Wurm	Noun, common, masculine
maþl*	Versammlungsort, Marktplatz	Noun, common
maþlein	Rede, Redeweise	Noun, common, feminine
maþljan	reden	Verb
Maþusalis	Maþusalis	Noun, proper
maudjan	einen erinnern	Verb
ga-maudjan	einen erinnern an	Verb
maurgins	Morgen	Noun, common, masculine
ga-maurgjan	verkürzen	Verb
maurnan	sorgen für 	Verb
maurþr	Mord	Noun, common, neuter
maurþrjan	morden	Verb
mawi	Mädchen	Noun, common, feminine
mawilo	Mädchen	Noun, common, feminine
megs	Eidam	Noun, common, masculine
meins	mein	Pronoun, possesive
meki	Schwert	Noun, common
mel	Zeit, Stunde	Noun, common, neuter
mela	Scheffel	Noun, common, masculine
meljan	schreiben	Verb
ana-meljan	aufschreiben	Verb
faura-meljan	vorzeichnen, vormalen	Verb
ga-meljan	schreiben	Verb
faura-gameljan	vorher schreiben	Verb
uf-meljan	unterschreiben	Verb
ufar-meljan	etw. überschreiben	Verb
mena	Mond	Noun, common, masculine
menoþs	Monat	Noun, common, masculine
mereins	Verkündigung, Predigt	Noun, common, feminine
Merila	Merila	Noun, proper
meriþa	Gerücht, Kunde	Noun, common, feminine
merjan	etw. künden, kund tun	Verb
merjands	Verkündiger, Prediger	Noun, common, masculine
us-merjan	verkünden	Verb
wailamerjan	einem eine frohe Botschaft künden	Verb
wajamerjan	lästern	Verb
us-mernan	sich  verbreiten	Verb
mes	Tisch; Schüssel, Platte; Kelter	Noun, common, neuter
midgardiwaddjus	Zwischenwand	Noun, common
midjasweipains	Überflutung, Sintflut	Noun, common, feminine
midjis*	midjis*	Adjective
midjungards	die bewohnte Erde, der Erdkreis	Noun, common, masculine
miduma*	Mitte	Noun, common, feminine
midumonds	Mittler	Noun, common, masculine
mikildūþs	Größe	Noun, common, feminine
mikilei	Größe	Noun, common, feminine
mikiljan	preisen	Verb
ga-mikiljan	preisen	Verb
mikilnan	verherrlicht werden	Verb
mikils	groß	Adjective
mikilþuhts	hochmütig	Adjective
mildiþa	Milde	Noun, common, feminine
milhma	Wolke	Noun, common, masculine
militon	die Soldaten	Verb
miliþ	Honig	Noun, common, neuter
miluks*	Milch	Noun, common, feminine
mimz	mimz	Noun, common
minnists	der kleinste, geringste	Adjective, Superlative
minniza	kleiner, geringer	Adjective, Comparative
